Player,Pos,School,Player_School
Will Harrigan,SP,Columbia,Will HarriganColumbia
Brendan Walker,SP,Stetson,Brendan WalkerStetson
Jack Ruditzky,SP,Rider,Jack RuditzkyRider
JP Podgorski,SP,Villanova,JP PodgorskiVillanova
Marco Dumsky,SP,Dartmouth,Marco DumskyDartmouth
Owen Schexnaydre,SP,Louisiana Tech,Owen SchexnaydreLouisiana Tech
Nate Ross,SP,Central Michigan,Nate RossCentral Michigan
Steven Mazza,SP,Marist,Steven MazzaMarist
Brendan Callanan,SP,Iona,Brendan CallananIona
Nick Tamburro,SP,Monmouth,Nick TamburroMonmouth
Ryan Bilka,RP,Richmond,Ryan BilkaRichmond
Nate Isler,RP,Dartmouth,Nate IslerDartmouth
Baylor Hicks,RP,Columbia,Baylor HicksColumbia
Charlie Jones,RP,High Point,Charlie JonesHigh Point
Jacob Havern,RP,Louisiana Tech,Jacob HavernLouisiana Tech
Ethan Marzo,RP,Marist,Ethan MarzoMarist
Robert Mitchell,RP,Florida Southwestern,Robert MitchellFlorida Southwestern
Will Croft,RP,Louisiana Tech,Will CroftLouisiana Tech
Ryan Sheehy,RP,Hartford,Ryan SheehyHartford
Connor Byrne,RP,Seton Hall,Connor ByrneSeton Hall
Jordan Savinon,RP,FDU,Jordan SavinonFDU
Nick Quagliato,C,FDU,Nick QuagliatoFDU
Jack Arcamone,C,Richmond,Jack ArcamoneRichmond
Braize Mitchell,C,Iona,Braize MitchellIona
Cam Boardman,C,Hartford,Cam BoardmanHartford
Ryan Preisano,1B/3B,Wake Forest,Ryan PreisanoWake Forest
Anthony Greco,1B/OF,William & Mary,Anthony GrecoWilliam & Mary
Jack Spanier,MIF,Minnesota,Jack SpanierMinnesota
Trey Christman,MIF,William & Mary,Trey ChristmanWilliam & Mary
Nick Mazzotta,MIF/P,Wagner,Nick MazzottaWagner
Aidan O'Keefe,3B,Richmond,Aidan O'KeefeRichmond
Cooper Blauser,3B,Jacksonville State,Cooper BlauserJacksonville State
Drew Berkland,OF,Minnesota,Drew BerklandMinnesota
Cole Fellows,OF,Columbia,Cole FellowsColumbia
Kyle Neri,OF,Rider,Kyle NeriRider
Joey Dwyer,OF,SUNY Oneonta,Joey DwyerSUNY Oneonta
AJ Brotz,UTIL,Marist,AJ BrotzMarist
Michael Trommer,UTIL,Bucknell,Michael TrommerBucknell