"Rk","Name","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","TB","GDP","HBP","SH","SF","IBB","Notes","Team","Year"
1,"Connor Bertsch",3,10,8,1,1,0,0,0,0,0,0,2,3,0.125,0.3,0.125,0.425,1,NA,0,0,0,0,NA,"809cb865",2023
2,"Brandon Butterworth",31,130,110,17,34,8,0,2,15,8,3,18,14,0.309,0.415,0.436,0.852,48,NA,2,0,0,1,NA,"809cb865",2023
3,"Luke Cantwell",30,128,90,22,21,1,0,2,11,10,0,27,23,0.233,0.453,0.311,0.764,28,NA,10,0,1,0,NA,"809cb865",2023
4,"Tyler Cox",32,111,86,17,21,2,0,0,4,2,0,22,16,0.244,0.404,0.267,0.671,23,NA,1,2,0,0,NA,"809cb865",2023
5,"Evan Fox",20,72,54,13,8,4,0,0,9,14,1,10,8,0.148,0.319,0.222,0.542,12,NA,5,0,3,0,NA,"809cb865",2023
6,"Nate Goranson",22,85,67,10,14,4,0,1,12,1,0,12,24,0.209,0.377,0.313,0.69,21,NA,6,0,0,0,NA,"809cb865",2023
7,"Jace Jeremiah",28,81,70,10,13,1,0,0,6,3,0,10,21,0.186,0.288,0.2,0.488,14,NA,0,1,0,0,NA,"809cb865",2023
8,"Andre Martinez",10,29,20,0,4,0,0,0,3,0,1,2,6,0.2,0.393,0.2,0.593,4,NA,5,1,1,0,NA,"809cb865",2023
9,"Jack Renwick",26,67,57,10,15,1,0,0,6,2,1,8,16,0.263,0.364,0.281,0.644,16,NA,1,1,0,0,NA,"809cb865",2023
10,"George Rosales",23,85,58,15,15,3,0,3,13,4,2,15,21,0.259,0.459,0.466,0.924,27,NA,9,0,3,0,NA,"809cb865",2023
11,"Santino Rosso",34,142,119,19,31,9,3,4,25,4,3,20,24,0.261,0.362,0.487,0.849,58,NA,0,1,2,0,NA,"809cb865",2023
12,"Cam Santerre",11,47,37,7,9,1,0,0,5,6,0,7,9,0.243,0.404,0.27,0.675,10,NA,3,0,0,0,NA,"809cb865",2023
13,"Nate Stocum",30,92,79,13,19,4,1,5,19,1,0,9,18,0.241,0.326,0.506,0.832,40,NA,2,0,2,1,NA,"809cb865",2023
14,"Marshall Toole",38,142,120,27,35,6,0,0,16,21,2,18,27,0.292,0.389,0.342,0.73,41,NA,1,3,0,0,NA,"809cb865",2023
15,"Grant Voytovich",24,96,66,14,14,2,0,0,9,9,1,19,25,0.212,0.442,0.242,0.685,16,NA,9,1,1,1,NA,"809cb865",2023
16,"Nathan Waugh",26,90,75,15,16,6,0,2,12,2,0,11,28,0.213,0.333,0.373,0.707,28,NA,3,0,1,0,NA,"809cb865",2023
17,"Tyler Wells",3,10,8,1,1,0,0,0,0,1,0,2,2,0.125,0.3,0.125,0.425,1,NA,0,0,0,0,NA,"809cb865",2023
18,"Aaron Whitley",21,82,71,13,20,3,0,1,10,9,0,5,12,0.282,0.354,0.366,0.72,26,NA,4,0,2,0,NA,"809cb865",2023
19,"T.J. Williams",29,120,100,24,33,6,1,2,19,18,2,11,17,0.33,0.419,0.47,0.889,47,NA,5,3,1,0,NA,"809cb865",2023
1,"Keagan Calero",13,56,42,8,7,0,0,0,5,6,0,13,9,0.167,0.357,0.167,0.524,7,NA,0,0,1,1,NA,"98a58904",2022
2,"Josh Cameron",4,12,11,0,2,0,0,0,1,2,0,0,5,0.182,0.182,0.182,0.364,2,NA,0,1,0,0,NA,"98a58904",2022
3,"Dalton Cody",2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,NA,"98a58904",2022
4,"Jack Cone",33,114,94,19,22,3,0,0,14,4,1,13,17,0.234,0.336,0.266,0.602,25,NA,3,1,3,0,NA,"98a58904",2022
5,"Tyler Cox",38,162,140,27,40,5,0,0,22,2,0,10,18,0.286,0.35,0.321,0.672,45,NA,5,5,2,0,NA,"98a58904",2022
6,"Anthony DeFabbia",11,12,12,0,1,0,0,0,0,0,0,0,3,0.083,0.083,0.083,0.167,1,NA,0,0,0,0,NA,"98a58904",2022
7,"Steve DiTomaso",32,130,123,25,32,3,2,5,25,2,0,5,28,0.26,0.285,0.439,0.724,54,NA,0,0,2,0,NA,"98a58904",2022
8,"Evan Fox",35,153,131,40,39,5,0,0,10,21,1,11,15,0.298,0.392,0.336,0.728,44,NA,10,0,1,0,NA,"98a58904",2022
9,"Cameron Gill",10,30,24,4,4,1,1,0,1,0,1,6,7,0.167,0.333,0.292,0.625,7,NA,0,0,0,0,NA,"98a58904",2022
10,"Connor Hujsak",9,39,33,6,9,2,0,2,7,4,0,4,6,0.273,0.385,0.515,0.9,17,NA,2,0,0,0,NA,"98a58904",2022
11,"Tom Josten",23,105,76,17,23,5,0,3,18,3,0,22,25,0.303,0.495,0.487,0.982,37,NA,7,0,0,1,NA,"98a58904",2022
12,"Kade Kretzschmar",5,22,17,5,6,1,0,1,7,1,0,4,3,0.353,0.5,0.588,1.088,10,NA,1,0,0,0,NA,"98a58904",2022
13,"Shane Lussier",12,38,33,2,5,0,0,1,5,0,0,5,11,0.152,0.263,0.242,0.506,8,NA,0,0,0,0,NA,"98a58904",2022
14,"Nic Notarangelo",15,58,50,10,13,2,1,1,7,3,1,7,14,0.26,0.345,0.4,0.745,20,NA,0,0,1,0,NA,"98a58904",2022
15,"Christian Pregent",26,94,79,10,16,5,0,1,11,0,0,9,23,0.203,0.269,0.304,0.573,24,NA,0,1,5,1,NA,"98a58904",2022
16,"Adam Retzbach",24,97,75,13,19,5,0,2,13,1,0,14,15,0.253,0.423,0.4,0.823,30,NA,8,0,0,0,NA,"98a58904",2022
17,"Santino Rosso",21,82,69,15,19,4,1,2,13,1,1,11,13,0.275,0.37,0.449,0.82,31,NA,0,1,1,0,NA,"98a58904",2022
18,"Tom Ruscitti",33,131,107,21,21,4,0,3,17,0,2,18,32,0.196,0.336,0.318,0.654,34,NA,5,0,1,0,NA,"98a58904",2022
19,"Gerry Siracusa",24,112,97,18,32,5,1,1,18,6,1,9,18,0.33,0.393,0.433,0.826,42,NA,3,0,3,0,NA,"98a58904",2022
20,"Joan Sosa",12,45,42,7,10,2,0,0,6,2,0,1,7,0.238,0.267,0.286,0.552,12,NA,1,0,1,0,NA,"98a58904",2022
21,"Mark Trotta",18,77,68,13,22,5,1,1,16,1,0,4,15,0.324,0.364,0.471,0.834,32,NA,2,0,3,0,NA,"98a58904",2022
22,"Matt Venuto",12,42,35,8,11,2,0,1,7,1,0,5,6,0.314,0.429,0.457,0.886,16,NA,2,0,0,1,NA,"98a58904",2022
23,"Tyler Wells",4,15,13,1,1,0,0,0,1,1,0,1,2,0.077,0.133,0.077,0.21,1,NA,0,0,1,0,NA,"98a58904",2022
24,"Ben Williamson",22,94,87,14,26,3,1,0,15,3,0,4,12,0.299,0.351,0.356,0.707,31,NA,3,0,0,0,NA,"98a58904",2022
1,"Matt Bergevin",42,173,135,19,33,8,0,2,20,2,1,27,36,0.244,0.399,0.348,0.747,47,NA,9,0,2,0,NA,"3c4df3e4",2023
2,"Efrain Correa",19,65,53,6,8,1,0,1,6,0,0,10,17,0.151,0.308,0.226,0.534,12,NA,2,0,0,0,NA,"3c4df3e4",2023
3,"Collier Cranford",14,59,54,10,19,2,0,0,7,3,1,2,7,0.352,0.397,0.389,0.786,21,NA,2,1,0,0,NA,"3c4df3e4",2023
4,"Eliot Dix",24,109,95,15,24,3,0,1,5,0,0,10,16,0.253,0.349,0.316,0.664,30,NA,4,0,0,0,NA,"3c4df3e4",2023
5,"Christian Fagnant",1,5,5,0,1,1,0,0,0,0,0,0,3,0.2,0.2,0.4,0.6,2,NA,0,0,0,0,NA,"3c4df3e4",2023
6,"Will Gale",35,154,132,25,35,4,0,0,8,18,5,17,21,0.265,0.349,0.296,0.644,39,NA,1,2,2,0,NA,"3c4df3e4",2023
7,"Matt Garcia",22,95,78,11,21,6,0,0,11,1,2,12,22,0.269,0.376,0.346,0.723,27,NA,2,2,1,0,NA,"3c4df3e4",2023
8,"A.J. Guerrero",36,157,141,21,42,11,0,2,23,4,3,14,32,0.298,0.363,0.418,0.782,59,NA,1,0,1,1,NA,"3c4df3e4",2023
9,"Zach Ketterman",30,122,105,14,22,7,0,3,15,0,0,16,30,0.21,0.32,0.362,0.682,38,NA,1,0,0,0,NA,"3c4df3e4",2023
10,"Conor Kiely",1,3,3,1,1,0,0,0,1,0,0,0,1,0.333,0.333,0.333,0.667,1,NA,0,0,0,0,NA,"3c4df3e4",2023
11,"EJ Kreutzmann",37,163,131,16,36,11,1,2,22,3,3,20,45,0.275,0.407,0.42,0.827,55,NA,10,1,1,0,NA,"3c4df3e4",2023
12,"Drew Metzdorf",5,16,14,1,2,0,0,0,1,3,0,1,3,0.143,0.25,0.143,0.393,2,NA,1,0,0,0,NA,"3c4df3e4",2023
13,"Jeff Pierantoni",34,129,109,19,23,1,0,1,12,16,3,15,19,0.211,0.333,0.248,0.581,27,NA,5,0,0,0,NA,"3c4df3e4",2023
14,"Jack Power",1,3,2,1,0,0,0,0,0,0,0,1,1,0,0.333,0,0.333,0,NA,0,0,0,0,NA,"3c4df3e4",2023
15,"Cian Sahler",25,58,55,4,6,1,0,0,5,2,0,3,5,0.109,0.155,0.127,0.283,7,NA,0,0,0,0,NA,"3c4df3e4",2023
16,"Sean Scanlon",25,54,42,3,6,1,0,1,6,0,0,7,16,0.143,0.315,0.238,0.553,10,NA,4,0,1,1,NA,"3c4df3e4",2023
17,"Kohtaro Shimada",14,31,22,1,6,0,0,0,0,0,0,4,6,0.273,0.484,0.273,0.757,6,NA,5,0,0,0,NA,"3c4df3e4",2023
18,"CJ Willis",24,84,75,10,16,4,0,3,10,2,1,8,17,0.213,0.298,0.387,0.684,29,NA,1,0,0,1,NA,"3c4df3e4",2023
19,"Mason Wolf",19,64,54,9,14,1,0,0,5,0,0,6,10,0.259,0.359,0.278,0.637,15,NA,3,0,1,0,NA,"3c4df3e4",2023
20,"Michael Zarrillo",36,129,100,16,22,7,0,2,13,2,1,23,39,0.22,0.367,0.35,0.717,35,NA,2,1,3,0,NA,"3c4df3e4",2023
1,"Mike Casaleggio",40,158,143,16,33,6,0,0,22,6,3,9,36,0.231,0.285,0.273,0.558,39,NA,3,0,3,0,NA,"16e22885",2022
2,"Lucas DiLuca",27,116,91,19,19,1,0,1,8,4,1,22,20,0.209,0.379,0.253,0.632,23,NA,3,0,0,0,NA,"16e22885",2022
3,"Blaze Fadio",30,130,89,12,17,4,0,1,13,4,1,31,49,0.191,0.434,0.27,0.704,24,NA,8,1,1,0,NA,"16e22885",2022
4,"Christian Fagnant",17,46,41,1,6,2,0,0,2,0,0,4,21,0.146,0.239,0.195,0.434,8,NA,1,0,0,0,NA,"16e22885",2022
5,"Sam Franco",31,134,117,20,28,6,2,3,12,5,3,11,35,0.239,0.328,0.402,0.73,47,NA,5,0,1,0,NA,"16e22885",2022
6,"A.J. Guerrero",23,105,90,19,34,7,2,1,16,2,1,11,18,0.378,0.448,0.533,0.981,48,NA,2,0,2,0,NA,"16e22885",2022
7,"Chase Hanson",27,107,97,12,22,0,2,2,11,5,2,7,23,0.227,0.283,0.33,0.613,32,NA,1,1,1,0,NA,"16e22885",2022
8,"Ramon Jimenez",25,97,86,17,20,2,0,3,12,3,0,8,20,0.233,0.313,0.361,0.673,31,NA,2,1,0,0,NA,"16e22885",2022
9,"Jack Krause",33,124,111,16,25,3,0,2,9,12,3,7,41,0.225,0.29,0.306,0.597,34,NA,4,0,2,0,NA,"16e22885",2022
10,"Charlie Ludwick",34,131,113,13,27,5,0,1,16,0,0,17,31,0.239,0.344,0.31,0.653,35,NA,1,0,0,0,NA,"16e22885",2022
11,"Steve Luttazi",28,105,85,9,22,1,0,0,8,2,1,15,26,0.259,0.4,0.271,0.671,23,NA,5,0,0,0,NA,"16e22885",2022
12,"Jevon Mason",22,101,89,15,25,5,0,0,15,4,1,11,21,0.281,0.356,0.337,0.694,30,NA,0,0,1,0,NA,"16e22885",2022
13,"Robert Mattei",13,56,53,5,13,3,0,0,5,1,0,1,11,0.245,0.25,0.302,0.552,16,NA,0,0,2,0,NA,"16e22885",2022
14,"Danny Melnick",27,87,77,6,14,1,0,0,3,2,0,9,17,0.182,0.264,0.195,0.459,15,NA,0,0,1,0,NA,"16e22885",2022
15,"Damaurys Rodriguez",17,75,57,13,18,5,0,1,9,6,3,16,4,0.316,0.467,0.456,0.923,26,NA,1,0,1,0,NA,"16e22885",2022
16,"Anthony Sherwin",23,93,75,8,14,3,0,2,9,1,0,15,34,0.187,0.333,0.307,0.64,23,NA,2,0,1,0,NA,"16e22885",2022
17,"Kohtaro Shimada",1,1,0,0,0,0,0,0,0,0,1,1,0,NA,1,NA,NA,0,NA,0,0,0,0,NA,"16e22885",2022
18,"Jacob Terwilliger",25,73,60,8,10,1,0,0,1,7,0,11,35,0.167,0.315,0.183,0.498,11,NA,2,0,0,1,NA,"16e22885",2022
1,"Randall Alejo",12,1,0,1,0,0,0,0,0,0,0,1,0,NA,1,NA,NA,0,NA,0,0,0,0,NA,"8f70d759",2023
2,"Marco Ali",10,36,31,4,9,1,0,0,5,3,0,3,5,0.29,0.389,0.323,0.712,10,NA,2,0,0,0,NA,"8f70d759",2023
3,"Austin Beck",21,57,54,8,14,2,0,0,3,7,1,3,20,0.259,0.298,0.296,0.595,16,NA,0,0,0,0,NA,"8f70d759",2023
4,"Kevin Bruggeman",24,92,77,15,23,7,1,0,14,1,0,12,11,0.299,0.391,0.416,0.807,32,NA,1,0,2,0,NA,"8f70d759",2023
5,"Jake Bullard",18,68,56,5,9,1,0,0,2,1,0,10,25,0.161,0.284,0.179,0.462,10,NA,0,1,1,1,NA,"8f70d759",2023
6,"Ryan Cesarini",39,159,140,25,39,4,3,1,17,15,2,16,15,0.279,0.359,0.371,0.73,52,NA,2,0,1,0,NA,"8f70d759",2023
7,"Pat D'Amico",22,70,57,3,9,1,0,0,5,1,0,8,23,0.158,0.286,0.175,0.461,10,NA,3,0,2,0,NA,"8f70d759",2023
8,"Steve Harrington",36,140,122,12,25,8,1,1,12,0,1,13,45,0.205,0.293,0.312,0.604,38,NA,3,0,2,1,NA,"8f70d759",2023
9,"Ethan Kavanagh",12,48,38,5,8,1,1,0,4,3,2,6,7,0.211,0.354,0.29,0.644,11,NA,3,0,1,0,NA,"8f70d759",2023
10,"Kory Klingenbeck",17,53,41,4,5,1,0,1,3,1,0,12,23,0.122,0.321,0.22,0.54,9,NA,0,0,0,0,NA,"8f70d759",2023
11,"Tyler Long",26,93,83,10,22,3,0,0,3,3,2,6,23,0.265,0.326,0.301,0.627,25,NA,2,1,1,0,NA,"8f70d759",2023
12,"Bear Madliak",8,26,22,2,1,0,0,0,0,0,0,1,6,0.046,0.192,0.046,0.238,1,NA,3,0,0,0,NA,"8f70d759",2023
13,"Nick Monistere",22,79,67,14,19,5,1,1,10,6,2,8,17,0.284,0.38,0.433,0.813,29,NA,3,0,1,0,NA,"8f70d759",2023
14,"Adarius Myers",39,167,156,26,53,7,2,2,16,17,4,10,15,0.34,0.377,0.449,0.826,70,NA,0,0,1,0,NA,"8f70d759",2023
15,"Dylan Palmer",30,108,93,18,24,4,0,0,6,13,3,11,13,0.258,0.349,0.301,0.65,28,NA,2,2,0,0,NA,"8f70d759",2023
16,"Garret Pike",25,94,80,12,23,3,1,3,16,3,0,10,27,0.288,0.376,0.463,0.839,37,NA,2,1,1,0,NA,"8f70d759",2023
17,"Damaurys Rodriguez",9,23,19,2,6,0,0,1,2,0,1,2,0,0.316,0.391,0.474,0.865,9,NA,1,0,1,0,NA,"8f70d759",2023
18,"Matthew Russo",24,86,72,4,14,1,0,2,15,1,1,9,16,0.194,0.326,0.292,0.617,21,NA,5,0,0,1,NA,"8f70d759",2023
19,"Chris Worcester",23,91,77,11,21,2,0,1,13,4,0,10,12,0.273,0.352,0.338,0.689,26,NA,1,0,3,0,NA,"8f70d759",2023
1,"Randall Alejo",9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,NA,"efa4d9be",2022
2,"Johnny Decker",28,93,76,14,12,1,1,0,7,10,2,12,30,0.158,0.301,0.197,0.499,15,NA,4,0,1,0,NA,"efa4d9be",2022
3,"Logan Eickhoff",7,23,20,3,5,0,0,0,0,1,0,2,1,0.25,0.348,0.25,0.598,5,NA,1,0,0,0,NA,"efa4d9be",2022
4,"Nicholas Fazzari",20,69,58,8,13,3,0,0,4,0,1,8,22,0.224,0.338,0.276,0.614,16,NA,2,1,0,0,NA,"efa4d9be",2022
5,"Michael Goehrig",19,62,60,5,9,0,0,1,4,0,0,1,21,0.15,0.177,0.2,0.377,12,NA,1,0,0,0,NA,"efa4d9be",2022
6,"Max Grant",37,161,142,28,37,12,0,1,18,3,1,15,28,0.261,0.338,0.366,0.704,52,NA,2,1,1,0,NA,"efa4d9be",2022
7,"Jonathan Hogart",39,166,143,24,37,4,1,4,18,7,0,16,29,0.259,0.355,0.385,0.74,55,NA,6,0,1,0,NA,"efa4d9be",2022
8,"Ryan Ignoffo",39,161,138,29,52,12,1,11,45,14,3,18,31,0.377,0.453,0.717,1.171,99,NA,3,0,2,2,NA,"efa4d9be",2022
9,"Ty Kaufman",15,43,37,8,6,0,0,0,4,3,0,6,12,0.162,0.279,0.162,0.441,6,NA,0,0,0,0,NA,"efa4d9be",2022
10,"Thomas Latham",11,34,26,5,7,0,0,0,1,0,1,6,10,0.269,0.441,0.269,0.71,7,NA,2,0,0,0,NA,"efa4d9be",2022
11,"Chris Lotito",13,15,14,0,2,0,0,0,2,0,0,0,10,0.143,0.133,0.143,0.276,2,NA,0,0,1,0,NA,"efa4d9be",2022
12,"Adarius Myers",10,35,29,3,10,3,0,0,4,2,2,6,8,0.345,0.457,0.448,0.905,13,NA,0,0,0,0,NA,"efa4d9be",2022
13,"Kyle Novak",21,83,75,7,18,1,0,0,9,0,0,5,16,0.24,0.289,0.253,0.543,19,NA,1,0,2,0,NA,"efa4d9be",2022
14,"Tyler Sorrentino",36,161,138,31,35,9,2,0,16,14,1,20,40,0.254,0.352,0.348,0.7,48,NA,1,2,0,0,NA,"efa4d9be",2022
15,"Clay Stearns",32,116,83,16,18,2,1,1,11,3,0,21,25,0.217,0.409,0.301,0.71,25,NA,8,1,3,0,NA,"efa4d9be",2022
16,"William Sullivan",40,161,137,18,32,5,0,2,23,9,2,12,34,0.234,0.311,0.314,0.625,43,NA,6,0,6,0,NA,"efa4d9be",2022
17,"Luca Trigiani",37,147,135,13,31,7,0,0,14,6,3,8,34,0.23,0.279,0.282,0.56,38,NA,2,0,2,0,NA,"efa4d9be",2022
18,"Nick Wang",19,68,59,5,10,2,0,0,7,0,0,8,17,0.17,0.265,0.203,0.468,12,NA,0,0,1,1,NA,"efa4d9be",2022
1,"Devan Bade",37,160,136,24,38,5,1,3,25,1,1,16,32,0.279,0.363,0.397,0.76,54,NA,3,3,2,0,NA,"83fae3ee",2023
2,"Cody Bowker",20,29,26,2,5,3,0,0,0,0,1,2,11,0.192,0.276,0.308,0.584,8,NA,1,0,0,0,NA,"83fae3ee",2023
3,"Eddie Eisert",35,144,123,16,34,8,2,2,16,2,0,18,32,0.276,0.368,0.423,0.791,52,NA,1,0,2,0,NA,"83fae3ee",2023
4,"Calvin Hewett",30,131,105,23,29,4,1,3,13,27,3,13,22,0.276,0.408,0.419,0.827,44,NA,11,1,1,0,NA,"83fae3ee",2023
5,"Jeremiah Jenkins",35,127,111,12,22,3,0,5,20,0,1,8,36,0.198,0.276,0.36,0.636,40,NA,5,0,3,1,NA,"83fae3ee",2023
6,"Cameron Johnson",30,95,85,9,14,1,0,0,4,2,3,7,27,0.165,0.253,0.177,0.429,15,NA,3,0,0,0,NA,"83fae3ee",2023
7,"Levi McAllister",17,52,47,3,6,2,0,0,2,0,0,2,23,0.128,0.192,0.17,0.363,8,NA,2,0,1,0,NA,"83fae3ee",2023
8,"Matt Miceli",34,118,102,15,18,3,0,0,9,4,3,13,16,0.177,0.265,0.206,0.471,21,NA,0,1,2,0,NA,"83fae3ee",2023
9,"Matthew Polk",27,110,95,15,28,5,2,1,15,7,2,10,12,0.295,0.376,0.421,0.797,40,NA,3,1,1,1,NA,"83fae3ee",2023
10,"Logan Poteet",32,121,101,13,35,2,0,3,25,0,0,14,31,0.347,0.438,0.455,0.893,46,NA,4,0,2,1,NA,"83fae3ee",2023
11,"JD Rogers",2,6,6,1,3,1,0,0,1,1,0,0,1,0.5,0.5,0.667,1.167,4,NA,0,0,0,0,NA,"83fae3ee",2023
12,"Nick Roselli",38,159,128,21,34,4,2,2,11,5,0,27,31,0.266,0.405,0.375,0.78,48,NA,3,1,0,0,NA,"83fae3ee",2023
13,"Devin Russell",23,75,60,12,14,0,1,3,11,1,2,11,29,0.233,0.373,0.417,0.79,25,NA,3,0,1,0,NA,"83fae3ee",2023
14,"Kevin Skagerlind",35,126,98,23,25,8,0,2,13,8,2,17,18,0.255,0.398,0.398,0.796,39,NA,7,3,1,0,NA,"83fae3ee",2023
15,"Jack Toomey",35,139,114,12,19,10,1,2,9,1,1,21,37,0.167,0.302,0.325,0.627,37,NA,2,0,2,0,NA,"83fae3ee",2023
16,"Simmi Whitehill",29,70,63,8,6,0,1,0,3,3,0,5,42,0.095,0.186,0.127,0.313,8,NA,2,0,0,0,NA,"83fae3ee",2023
17,"Mason Wolf",2,8,6,0,1,0,0,0,3,0,0,0,3,0.167,0.143,0.167,0.31,1,NA,0,1,1,0,NA,"83fae3ee",2023
